"source_path","file_name","extension","size_bytes","corpus","layer","lane_id","chapter","last_write_utc"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/CONCEPT_MAP.md","CONCEPT_MAP.md",".md","1253","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/EMBEDDING_AND_CHUNKING_STRATEGY.md","EMBEDDING_AND_CHUNKING_STRATEGY.md",".md","1467","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/GAP_AUDIT_AND_VOL2_QUEUE.md","GAP_AUDIT_AND_VOL2_QUEUE.md",".md","785","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/lane_profile.json","lane_profile.json",".json","998","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/QA_TEST_PROMPTS.md","QA_TEST_PROMPTS.md",".md","961","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/README_VOL1.md","README_VOL1.md",".md","1587","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/RETRIEVAL_CARDS.jsonl","RETRIEVAL_CARDS.jsonl",".jsonl","7371","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/SOURCE_COVERAGE.md","SOURCE_COVERAGE.md",".md","824","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/vol1_lane_manifest.json","vol1_lane_manifest.json",".json","840","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/VOL1_SCOPE.md","VOL1_SCOPE.md",".md","1112","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
